Model,Accuracy,F1-Score,Latency (ms),Train Time (s)
Logistic Regression,0.9941353887399463,0.9890058112140726,0.006469201306555291,0.6104204654693604
Naive Bayes,0.8314343163538874,0.7201668984700974,0.0063230860329185675,0.46483397483825684
Linear SVC,0.9975284852546917,0.995395301646765,0.006126354750615342,0.6078181266784668
Random Forest,0.8610087131367292,0.6526381909547738,0.0075182051025830384,0.7918965816497803
